value,hits,bytes,cost,Price,dup
velvet_green.glb,5,544,0.0,149.0,False
velvet_navy.glb,5,544,0.0,149.0,False
Eminence%2BCeramic%2BStone%2BTop%2BDouble%2BExtending%2BTable%2Bmiddle.glb,5,544,0.0,1099.0,False
planet.glb,5,544,0.0,599.0,False
Eminence%2BFast%2BExtending%2BTable%2Bin%2BCeramic%2BSalt%2BWhite%2Bsmall.glb,5,544,0.0,1099.0,False
Havana%2Bbed.glb,5,544,0.0,,False
drawer%2Btallboy.glb,5,544,0.0,249.0,False
velvet_charcole.glb,5,544,0.0,149.0,False
bedside%2Blocker.glb,5,544,0.0,79.0,False
grey.glb,5,544,0.0,179.0,True
blue.glb,5,544,0.0,179.0,False
Eminence%2BTaupe%2BDining%2BTable%2Bsmall.glb,5,544,0.0,1099.0,False
Eminence%2BCeramic%2BStone%2BTop%2BSingle%2BExtending%2BTable%2Blarge.glb,5,544,0.0,1099.0,False
green.glb,5,544,0.0,449.0,True
Eminence%2BCeramic%2BStone%2BTop%2BDouble%2BExtending%2BTable%2Bsmall.glb,5,544,0.0,1099.0,False
dining%2Bebony.glb,5,544,0.0,,False
red.glb,5,544,0.0,179.0,False
bed%2B5.glb,5,544,0.0,299.0,False
bed%2B3.glb,5,544,0.0,,False
Eminence%2BCeramic%2BStone%2BTop%2BSingle%2BExtending%2BTable%2Bmiddle.glb,5,544,0.0,1099.0,False
Eminence%2BTobacco%2BOak%2BTop_%2BGraphite%2BLegs%2Bmiddle.glb,5,544,0.0,1099.0,False
2%2Bdoor%2Bwardrobe.glb,5,544,0.0,,False
coco.glb,5,544,0.0,,False
2Seater.glb,5,544,0.0,,False
bentley.glb,5,544,0.0,,False
Eminence%2BCeramic%2BStone%2BTop%2BSingle%2BExtending%2BTable%2Bsmall.glb,5,544,0.0,1099.0,False
petrol.glb,5,544,0.0,,False
Eminence%2BFast%2BExtending%2BTable%2Bin%2BCeramic%2BSalt%2BWhite%2Blarge.glb,5,544,0.0,1099.0,False
Annecy.glb,5,544,0.0,149.0,False
chair.glb,5,544,0.0,1297.0,False
bar%2Bstool.glb,5,544,0.0,249.0,False
3Seater.glb,5,544,0.0,998.0,False
Eminence%2BTobacco%2BOak%2BTop_%2BGraphite%2BLegs%2Bsmall.glb,5,544,0.0,1099.0,False
dining%2Bgrey.glb,5,544,0.0,249.0,False
Eminence%2BTaupe%2BDining%2BTable%2Bmiddle.glb,5,544,0.0,1099.0,False
