value,hits,bytes,cost,Price
New%2BArmchair.glb,10,20791875,0.0,
Project%2BName%2B%25281%2529.glb,10,1088,0.0,
carter%2B%25281%2529.glb,10,1088,0.0,
viewer.css',10,19000,0.0,
viewer.js',10,17568,0.0,
deposition_01.glb,10,18550064,0.0,
2%2BSeater.glb,9,1232,0.0,
Armchair.glb,9,1232,0.0,
3%2BSeater.glb,9,1232,0.0,
3%2BSeater.glb,9,1220,0.0,
LargeBench.glb,9,1088,0.0,1445.0
Right_Black.glb,9,1232,0.0,999.0
Right_Taupe.glb,9,1232,0.0,999.0
DegiroTest.js',9,1640,0.0,
qrcode.js',9,232176,0.0,
2%2BSeater.glb,8,1088,0.0,649.0
2%2BSeater.glb,8,7922452,0.0,499.0
Bedside%2BLocker.glb,8,1088,0.0,179.0
Black.glb,8,1088,0.0,
Double%2BWardrobe.glb,8,1088,0.0,499.0
green.glb,8,1088,0.0,
EZLivingInteriors_-_Sorrento3Seater.usdz,7,209293791,0.0,
Green.glb,7,3194960,0.0,
Montreux%2BGrey%2BWashed.glb,7,544,0.0,135.0
Montreux%2BGrey%2BWashed%2BX.glb,7,544,0.0,135.0
EZLivingInteriors-Cheltenham3plus2.usdz,7,13623995,0.0,499.0
Blue.glb,6,8641052,0.0,
3%2BSeater.glb,6,7240312,0.0,649.0
Blue.glb,6,4415760,0.0,
Blue.glb,6,3198452,0.0,349.0
Green.glb,6,3156276,0.0,349.0
White.glb,6,3118996,0.0,349.0
Black.glb,6,2179364,0.0,
ConsoleTable.glb,6,544,0.0,
hydration.glb,6,7632352,0.0,
Corner%2BRight.glb,5,544,0.0,1099.0
Chair.glb,5,544,0.0,499.0
Footstool.glb,5,544,0.0,269.0
Corner%2BLeft.glb,5,544,0.0,1099.0
2%2BSeater%2BGrey.glb,5,544,0.0,599.0
2.glb,5,544,0.0,439.0
Swivel%2BChair.glb,5,544,0.0,
3%2BSeater%2BGrey.glb,5,544,0.0,499.0
Turquoise.glb,5,544,0.0,349.0
Armchair%2BGrey.glb,5,544,0.0,399.0
2%2BSeater%2BBlue.glb,5,544,0.0,499.0
Armchair.glb,5,544,0.0,
Left.glb,5,544,0.0,349.0
Navy.glb,5,544,0.0,349.0
Armchair%2B%252B%2BFootrest%2BGrey.glb,5,544,0.0,179.0
Armchair%2B%252B%2BFootrest%2BBlue.glb,5,544,0.0,179.0
Right.glb,5,544,0.0,
Green.glb,5,544,0.0,349.0
Loveseat.glb,5,544,0.0,299.0
3%2BSeater.glb,5,544,0.0,349.0
Zelda%2BBlue%2BAccent.glb,5,544,0.0,399.0
3%2BSeater%2BBlue.glb,5,544,0.0,499.0
3.glb,5,544,0.0,449.0
Sofa.glb,5,544,0.0,999.0
2%2BSeater.glb,5,544,0.0,649.0
1.glb,5,544,0.0,449.0
CoffeeTable.glb,5,544,0.0,299.0
EntertainmentUnit.glb,5,544,0.0,
Bookcase.glb,5,544,0.0,
Bedframe%2B4%25276.glb,5,544,0.0,
Green.glb,5,544,0.0,348.0
Pink.glb,5,544,0.0,308.0
Charcoal.glb,5,544,0.0,308.0
Closed.glb,5,544,0.0,749.0
Blue.glb,5,544,0.0,308.0
2.glb,5,544,0.0,1197.0
Carson.glb,5,544,0.0,179.0
Armchair.glb,5,544,0.0,399.0
3%2BSeater.glb,5,544,0.0,699.0
Mustard.glb,5,544,0.0,
grey.glb,5,544,0.0,
3.glb,5,544,0.0,1197.0
Arm.glb,5,544,0.0,
Opened.glb,5,544,0.0,749.0
2%2BSeater.glb,5,544,0.0,
Brinley_15L_25R_Charcoal.glb,5,544,0.0,1199.0
Brinley_15L_25R_Turquoise.glb,5,544,0.0,1199.0
Brinley_25L_15R_Turquoise.glb,5,544,0.0,1199.0
Brinley_25L_15R_Charcoal.glb,5,544,0.0,1199.0
Emily_Dressing_Table_%2526_Stool.glb,5,544,0.0,299.0
